,species,Longitude (degrees),lat,AMT,max temp,Tmin,AMP,Clay,Country,,,,,,,,  
321,Festuca arundinacea,148.45,-37.7,146,252,47,886,21,,,,,,,,,
322,Fumaria muralis,144.578889,-37.683611,141,259,45,510,11,,,,,,,,,
323,Festuca arundinacea,140.5333,-37.6833,135,244,52,817,32.70999908,,,,,,,,,
324,Festuca arundinacea,144.4333,-37.6833,140,259,44,507,11,,,,,,,,,
325,Festuca arundinacea,176.12102,-37.68202,144,240,50,1504,15.68000031,,,,,,,,,
326,Fumaria muralis,144.35,-37.6667,136,256,41,571,11,,,,,,,,,
327,Festuca arundinacea,144.5167,-37.6667,141,259,45,510,11,,,,,,,,,
328,Fumaria muralis,145.3667,-37.6667,144,269,47,842,11.84000015,,,,,,,,,
329,Festuca arundinacea,145.55,-37.6667,133,262,36,1192,12.07999992,,,,,,,,,
330,Fumaria muralis,145.1,-37.65,142,266,46,743,11,,,,,,,,,
331,Festuca arundinacea,140.405,-37.648056,140,249,58,749,34,,,,,,,,,
332,Festuca arundinacea,140.24,-37.633333,141,243,62,739,7,,,,,,,,,
333,Festuca arundinacea,140.5167,-37.6167,136,251,51,825,4.059999943,,,,,,,,,
334,Festuca arundinacea,140.51,-37.61,136,251,51,825,4.059999943,,,,,,,,,
335,Euphorbia helioscopia,141.691111,-37.603889,135,263,43,660,48.63999939,,,,,,,,,
336,Festuca arundinacea,140.223333,-37.601111,141,243,62,739,7,,,,,,,,,
337,Festuca arundinacea,140.536667,-37.600556,136,251,51,825,4.059999943,,,,,,,,,
338,Festuca arundinacea,148.5,-37.6,139,248,40,933,20.5,,,,,,,,,
339,Festuca arundinacea,140.354167,-37.598611,140,249,58,749,34,,,,,,,,,
340,Festuca arundinacea,143.85,-37.5667,120,251,25,808,13.93999958,,,,,,,,,
341,Fumaria muralis,149.7667,-37.5667,149,224,75,939,10.1351347,,,,,,,,,
342,Fumaria muralis,144.045278,-37.557222,114,245,20,933,21.92000008,,,,,,,,,
343,Festuca arundinacea,140.221111,-37.551111,142,247,62,729,6.5,,,,,,,,,
344,Festuca arundinacea,175.16458,-37.550434,144,240,53,1264,47,,,,,,,,,
345,Fumaria muralis,144.05,-37.55,114,245,20,933,21.92000008,,,,,,,,,
346,Fumaria muralis,147.35,-37.55,130,256,21,802,11,,,,,,,,,
347,Ficus carica,149.7411,-37.5364,148,227,71,943,3.282352924,,,,,,,,,
348,Fumaria muralis,144.0333,-37.5333,114,245,20,933,21.92000008,,,,,,,,,
349,Festuca arundinacea,144.5833,-37.5333,126,253,30,780,20.11000061,,,,,,,,,
350,Festuca arundinacea,140.149167,-37.507222,142,244,64,726,6.985507011,,,,,,,,,
351,Festuca arundinacea,140.15054,-37.50578,142,244,64,726,6.985507011,,,,,,,,,
352,Festuca arundinacea,140.466667,-37.5,138,254,52,803,12.34000015,,,,,,,,,
353,Festuca arundinacea,145.8833,-37.4833,83,218,-5,1872,23,,,,,,,,,
354,Festuca arundinacea,174.78377,-37.480335,141,235,53,1452,47,,,,,,,,,
355,Festuca arundinacea,140.241944,-37.469444,143,251,61,716,13,,,,,,,,,
356,Festuca arundinacea,140.24347,-37.46799,143,251,61,716,13,,,,,,,,,
357,Festuca arundinacea,140.0333,-37.45,143,244,66,709,6.911764622,,,,,,,,,
358,Fumaria muralis,148.2139,-37.45,134,252,29,877,12.80000019,,,,,,,,,
359,Fumaria muralis,143.3833,-37.4333,124,261,26,706,10.14000034,,,,,,,,,
360,Fumaria muralis,148.3167,-37.4222,135,252,30,889,11.60000038,,,,,,,,,
361,Festuca arundinacea,174.73027,-37.38693,145,237,58,1335,29.8214283,,,,,,,,,
362,Fumaria muralis,140.816667,-37.383333,141,274,46,672,50.02000046,,,,,,,,,
363,Fumaria muralis,143.6167,-37.3667,120,259,21,754,14.64999962,,,,,,,,,
364,Fumaria muralis,143.3,-37.35,125,265,26,696,11,,,,,,,,,
365,Fumaria muralis,142.9333,-37.2833,130,270,32,635,10.13000011,,,,,,,,,
366,Festuca arundinacea,140.2014,-37.2678,144,259,60,685,56,,,,,,,,,
367,Fumaria muralis,144.2333,-37.2667,121,260,20,869,11,,,,,,,,,
368,Fumaria muralis,139.833333,-37.258333,145,237,73,672,7,,,,,,,,,
369,Fumaria muralis,139.83,-37.2583,145,237,73,672,7,,,,,,,,,
370,Lycium barbarum,144.0667,-37.2167,132,275,27,618,15.19999981,,,,,,,,,
371,Festuca arundinacea,175.31108,-37.18689,144,239,54,1434,43.09677505,,,,,,,,,
372,Lycium barbarum,147.659167,-37.183889,107,242,-2,808,11,,,,,,,,,
373,Fumaria muralis,139.75,-37.17,145,238,73,656,7,,,,,,,,,
374,Festuca arundinacea,175.5356,-37.163925,139,234,49,2052,36.28168869,,,,,,,,,
375,Lycium barbarum,149.87,-37.13,149,234,60,889,14.60240936,,,,,,,,,
376,Festuca arundinacea,145.4167,-37.1,128,272,24,864,11,,,,,,,,,
377,Ficus carica,175.51686,-37.098206,139,234,49,2052,36.28168869,,,,,,,,,
378,Fumaria muralis,144.2083,-37.075,135,282,26,627,11,,,,,,,,,
379,Lycium barbarum,144.2167,-37.0667,135,282,26,627,11,,,,,,,,,
380,Fumaria muralis,140.666667,-37.066667,145,285,47,564,56,,,,,,,,,
381,Festuca arundinacea,175.67136,-37.059757,127,225,38,2814,48,,,,,,,,,
382,Fumaria muralis,144.1,-37.0167,137,283,28,601,11,,,,,,,,,
383,Festuca arundinacea,140.752778,-36.955556,144,286,45,575,11.80000019,,,,,,,,,
384,Festuca arundinacea,143.7167,-36.9472,143,291,32,519,11,,,,,,,,,
385,Fumaria muralis,139.683056,-36.944444,147,245,72,604,6.119402885,,,,,,,,,
386,Euphorbia helioscopia,149.87,-36.92,150,241,51,882,24,,,,,,,,,
387,Lycium barbarum,148.4167,-36.9167,119,252,2,853,11,,,,,,,,,
388,Festuca arundinacea,174.7632,-36.908714,152,241,68,1275,20,,,,,,,,,
389,Festuca arundinacea,174.65079,-36.901497,150,239,67,1292,47.38999939,,,,,,,,,
390,Fumaria muralis,145.5333,-36.8833,137,286,27,757,11,,,,,,,,,
391,Festuca arundinacea,-62.43,-36.87,153,318,20,773,16,,,,,,,,,
392,Festuca arundinacea,174.70576,-36.855568,152,241,68,1275,26.27000046,,,,,,,,,
393,Festuca arundinacea,174.76743,-36.85457,152,241,68,1275,20,,,,,,,,,
394,Fumaria muralis,144.2667,-36.7667,142,287,30,600,11,,,,,,,,,
395,Euphorbia helioscopia,174.767,-36.7667,154,243,70,1243,38.31818008,,,,,,,,,
396,Festuca arundinacea,174.767,-36.7667,154,243,70,1243,38.31818008,,,,,,,,,
397,Euphorbia helioscopia,141.9167,-36.75,142,289,32,478,55,,,,,,,,,
398,Euphorbia helioscopia,149.65,-36.75,138,248,27,923,20.10000038,,,,,,,,,
399,Fumaria muralis,148.4167,-36.7333,108,247,-12,934,11,,,,,,,,,
400,Euphorbia helioscopia,141.9906,-36.7331,143,291,32,457,55,,,,,,,,,
401,Festuca arundinacea,174.75018,-36.73153,152,241,68,1264,46,,,,,,,,,
402,Fumaria muralis,148.41,-36.73,98,236,-19,1098,11,,,,,,,,,
403,Festuca arundinacea,141.9333,-36.7167,143,291,32,457,55,,,,,,,,,
404,Fumaria muralis,142.2,-36.7167,144,293,32,495,55,,,,,,,,,
405,Fumaria muralis,142.18,-36.7,14.4,293,32,495,55,,,,,,,,,
406,Euphorbia helioscopia,149.7,-36.7,147,254,36,884,24,,,,,,,,,
407,Fumaria muralis,148.6181,-36.6764,120,260,-3,752,11,,,,,,,,,
408,Festuca arundinacea,146.4833,-36.6333,136,287,20,868,10.36999989,,,,,,,,,
409,Ficus carica,145.2194,-36.6167,149,298,32,574,10.84000015,,,,,,,,,
410,Fumaria muralis,146.1833,-36.6167,14,293,24,764,13.51000023,,,,,,,,,
411,Lycium barbarum,143.95,-36.6,150,298,35,477,11,,,,,,,,,
412,Festuca arundinacea,145.2833,-36.6,150,298,34,581,10.18999958,,,,,,,,,
413,Fallopia convolvulus,149.8,-36.6,14.7,252,38,936,24,,,,,,,,,
414,Festuca arundinacea,149.9,-36.6,150,250,44,947,24,,,,,,,,,
415,Festuca arundinacea,149.82,-36.57,147,252,38,956,24,,,,,,,,,
416,Fumaria muralis,146.5667,-36.5,139,289,22,850,10,,,,,,,,,
417,Festuca arundinacea,149.8,-36.5,147,252,38,956,24,,,,,,,,,
418,Lycium barbarum,141.7167,-36.4167,143,294,31,455,11,,,,,,,,,
419,Festuca arundinacea,140.45,-36.416667,148,290,49,544,10,,,,,,,,,
420,Festuca arundinacea,145.75,-36.3833,151,303,34,586,10.03999996,,,,,,,,,
421,Festuca arundinacea,139.75,-36.3,152,270,64,521,4,,,,,,,,,
422,Fumaria muralis,146.1667,-36.3,143,297,24,664,11,,,,,,,,,
423,Festuca arundinacea,139.733333,-36.283333,152,267,66,523,4.235294342,,,,,,,,,
424,Ficus carica,146.8333,-36.2667,127,277,10,992,11,,,,,,,,,
425,Ficus carica,146.83,-36.26,127,277,10,992,11,,,,,,,,,
426,Festuca arundinacea,140.07916,-36.25805,152,281,60,515,7.179999828,,,,,,,,,
427,Lycium barbarum,149.12,-36.22,111,256,-21,590,22.18000031,,,,,,,,,
428,Ficus carica,147.2333,-36.1833,140,295,19,893,10.07999992,,,,,,,,,
429,Fumaria muralis,141.9667,-36.15,152,306,35,382,11,,,,,,,,,
430,Festuca arundinacea,142.8667,-36.15,153,306,36,391,52.79999924,,,,,,,,,
431,Festuca arundinacea,144.8167,-36.15,154,307,32,455,11,,,,,,,,,
432,Festuca arundinacea,146.9333,-36.1333,151,304,29,760,10,,,,,,,,,
433,Festuca arundinacea,142.85,-36.13,153,306,36,391,52.79999924,,,,,,,,,
434,Festuca arundinacea,148.1,-36.1,122,278,-2,1008,23,,,,,,,,,
435,Fallopia convolvulus,149.1,-36.1,112,257,-20,615,22,,,,,,,,,
436,Fumaria muralis,143.226667,-36.080556,155,307,37,403,11,,,,,,,,,
437,Fumaria muralis,146.92,-36.07,149,304,28,745,10,,,,,,,,,
438,Fumaria muralis,142.0167,-36.0333,151,307,34,389,11.43999958,,,,,,,,,
439,Fumaria muralis,144.2,-36,156,307,36,420,55,,,,,,,,,
440,Fumaria muralis,144.91507,-35.929783,156,310,33,440,11,,,,,,,,,
441,Ficus carica,147.7,-35.92,141,301,15,872,10,,,,,,,,,
442,Fumaria muralis,136.77428,-35.91418,144,226,85,722,10,,,,,,,,,
443,Fumaria muralis,145.1167,-35.8667,158,311,34,453,11,,,,,,,,,
444,Fumaria muralis,145.4167,-35.85,159,313,33,478,11,,,,,,,,,
445,Fumaria muralis,150.1833,-35.8333,158,244,61,1104,24,,,,,,,,,
446,Festuca arundinacea,149.63,-35.82,115,249,-6,959,11,,,,,,,,,
447,Fallopia convolvulus,150.1,-35.8,157,246,57,1072,24,,,,,,,,,
448,Fumaria muralis,137.8,-35.766667,153,233,87,554,6.081632614,,,,,,,,,
449,Fumaria muralis,144.345,-35.749702,160,312,36,409,55,,,,,,,,,
450,Fumaria muralis,146.5909,-35.72465,155,314,28,548,10.53999996,,,,,,,,,
451,Fumaria muralis,150.2,-35.7,160,247,60,1099,24,,,,,,,,,
452,Fumaria muralis,137.666667,-35.683333,153,236,86,535,10,,,,,,,,,
453,Fumaria muralis,144.23741,-35.657265,160,312,37,402,55,,,,,,,,,
454,Fumaria muralis,138.50183,-35.62612,151,240,75,661,10,,,,,,,,,
455,Fumaria muralis,138.4388,-35.60311,151,239,76,685,10,,,,,,,,,
456,Fumaria muralis,137.5,-35.6,155,244,85,497,10,,,,,,,,,
457,Fumaria muralis,138.538333,-35.596389,151,240,75,661,10,,,,,,,,,
458,Fumaria muralis,138.368056,-35.594722,146,235,74,748,10,,,,,,,,,
459,Festuca arundinacea,138.595278,-35.579722,154,246,75,573,3,,,,,,,,,
460,Festuca arundinacea,138.261111,-35.572222,143,236,70,779,10,,,,,,,,,
461,Lycium barbarum,149.13,-35.57,117,266,-14,759,11,,,,,,,,,
462,Festuca arundinacea,138.355278,-35.563889,145,238,71,778,10,,,,,,,,,
463,Festuca arundinacea,138.563056,-35.553056,151,243,74,668,6.079999924,,,,,,,,,
464,Festuca arundinacea,138.60529,-35.5468,154,246,75,573,3,,,,,,,,,
465,Fumaria muralis,138.533333,-35.533333,151,243,74,668,6.079999924,,,,,,,,,
466,Galium palustre,174.27185,-35.53151,152,240,72,1789,46,,,,,,,,,
467,Fumaria muralis,138.680278,-35.526667,155,251,74,512,6.900000095,,,,,,,,,
468,Fumaria muralis,138.221944,-35.523889,148,238,76,651,10,,,,,,,,,
469,Festuca arundinacea,138.679167,-35.521944,155,251,74,512,6.900000095,,,,,,,,,
470,Lycium barbarum,143.95,-35.5167,161,312,38,391,55,,,,,,,,,
471,Ficus carica,139.030833,-35.513611,156,263,68,413,4,,,,,,,,,
472,Festuca arundinacea,138.464722,-35.489444,145,243,67,800,43.36000061,,,,,,,,,
473,Fumaria muralis,138.83359,-35.48727,157,261,70,450,4,,,,,,,,,
474,Lycium barbarum,138.613611,-35.486389,147,248,67,722,5.449999809,,,,,,,,,
475,Fumaria muralis,143.9,-35.4833,162,313,39,380,55,,,,,,,,,
476,Fumaria muralis,138.5833,-35.4667,145,245,66,796,23.35000038,,,,,,,,,
477,Fumaria muralis,138.60013,-35.45573,147,248,67,722,5.449999809,,,,,,,,,
478,Festuca arundinacea,-57.31,-35.42,158,285,54,907,70.66000366,,,,,,,,,
479,Galium palustre,138.666667,-35.416667,151,252,69,612,8.369999886,,,,,,,,,
480,Festuca arundinacea,138.8227,-35.40184,154,261,67,542,8.920000076,,,,,,,,,
481,Festuca arundinacea,138.822778,-35.401667,154,261,67,542,8.920000076,,,,,,,,,
482,Festuca arundinacea,149,-35.4,127,280,-5,716,11,,,,,,,,,
483,Festuca arundinacea,149.2333,-35.375,126,275,-4,661,11,,,,,,,,,
484,Galium palustre,138.710278,-35.372778,149,256,65,682,9.93999958,,,,,,,,,
485,Galium palustre,138.65,-35.366667,144,251,62,806,10,,,,,,,,,
486,Festuca arundinacea,149.083333,-35.366667,127,280,-5,716,11,,,,,,,,,
487,Festuca arundinacea,138.573056,-35.36,143,249,63,838,13.14999962,,,,,,,,,
488,Festuca arundinacea,138.6975,-35.359444,149,256,65,682,9.93999958,,,,,,,,,
489,Fumaria muralis,149.23,-35.35,126,275,-4,661,11,,,,,,,,,
490,Lycium barbarum,149.2333,-35.35,126,275,-4,661,11,,,,,,,,,
491,Lycium barbarum,138.449722,-35.335,147,249,68,771,16.35869598,,,,,,,,,
492,Fumaria muralis,149.15,-35.3333,129,280,-3,651,11,,,,,,,,,
493,Lycium barbarum,149.15,-35.3333,129,280,-3,651,11,,,,,,,,,
494,Fallopia convolvulus,149.01,-35.33,129,282,-3,692,11,,,,,,,,,
495,Festuca arundinacea,149.06,-35.33,129,282,-3,692,11,,,,,,,,,
496,Fumaria muralis,149.15,-35.33,129,280,-3,651,11,,,,,,,,,
497,Fumaria muralis,148.07,-35.32,142,305,9,880,11,,,,,,,,,
498,Festuca arundinacea,150.43,-35.32,165,252,69,1300,11,,,,,,,,,
499,Euphorbia helioscopia,136.870278,-35.318611,159,250,89,497,7,,,,,,,,,
500,Lycium barbarum,143.55,-35.3167,163,314,38,368,54.56000137,,,,,,,,,
501,Ficus carica,138.45618,-35.30037,159,260,76,569,10.19402981,,,,,,,,,
502,Fumaria muralis,144.52258,-35.30028,164,318,38,392,55,,,,,,,,,
503,Lycium barbarum,138.48,-35.3,159,260,76,569,10.19402981,,,,,,,,,
504,Lycium barbarum,138.483333,-35.3,159,260,76,569,10.19402981,,,,,,,,,
505,Ficus carica,138.55,-35.3,150,257,67,735,10,,,,,,,,,
506,Euphorbia helioscopia,148.22,-35.3,146,308,11,876,11,,,,,,,,,
507,Festuca arundinacea,148.9333,-35.3,131,285,-2,767,11,,,,,,,,,
508,Lycium barbarum,149.08,-35.3,129,282,-3,692,11,,,,,,,,,
509,Lycium barbarum,149.0833,-35.3,129,282,-3,692,11,,,,,,,,,
510,Fumaria muralis,149.1,-35.3,129,280,-3,651,11,,,,,,,,,
511,Festuca arundinacea,149.125,-35.3,129,280,-3,651,11,,,,,,,,,
512,Festuca arundinacea,149.2167,-35.2833,128,277,-3,651,11,,,,,,,,,
513,Fumaria muralis,147.08,-35.28,156,315,28,581,10.75,,,,,,,,,
514,Fumaria muralis,149.1,-35.28,129,280,-3,651,11,,,,,,,,,
515,Fallopia convolvulus,149.11,-35.28,129,280,-3,651,11,,,,,,,,,
516,Fumaria muralis,149.13,-35.28,129,280,-3,651,11,,,,,,,,,
517,Festuca arundinacea,149.21,-35.28,128,277,-3,651,11,,,,,,,,,
518,Fumaria muralis,147.07257,-35.2763,156,315,28,581,10.75,,,,,,,,,
519,Ficus carica,136.890278,-35.2725,159,250,89,497,7,,,,,,,,,
520,Fumaria muralis,136.890556,-35.272222,159,250,89,497,7,,,,,,,,,
521,Fumaria muralis,148.9667,-35.2667,131,285,-2,767,11,,,,,,,,,
522,Fumaria muralis,138.90178,-35.26638,154,267,63,517,10.64999962,,,,,,,,,
523,Fumaria muralis,149.1,-35.26,129,280,-3,651,11,,,,,,,,,
524,Festuca arundinacea,149.05,-35.25,129,282,-3,692,11,,,,,,,,,
525,Festuca arundinacea,149.08,-35.25,129,282,-3,692,11,,,,,,,,,
526,Euphorbia helioscopia,149.11,-35.25,129,280,-3,651,11,,,,,,,,,
527,Euphorbia helioscopia,149.1167,-35.25,129,280,-3,651,11,,,,,,,,,
528,Festuca arundinacea,149.15,-35.25,129,280,-3,651,11,,,,,,,,,
529,Euphorbia helioscopia,136.843611,-35.239167,160,252,89,480,7,,,,,,,,,
530,Festuca arundinacea,139.419722,-35.230556,158,288,54,373,11,,,,,,,,,
531,Lycium barbarum,138.4917,-35.225,161,267,75,545,11,,,,,,,,,
532,Festuca arundinacea,174.18944,-35.21983,160,246,82,1609,46,,,,,,,,,
533,Ficus carica,138.6,-35.2167,149,263,62,785,10.02999973,,,,,,,,,
534,Festuca arundinacea,149.15,-35.2167,128,280,-3,673,11,,,,,,,,,
535,Euphorbia helioscopia,137.013611,-35.2025,160,255,86,478,7,,,,,,,,,
536,Ficus carica,138.469167,-35.201111,161,267,75,545,11,,,,,,,,,
537,Euphorbia helioscopia,137.01512,-35.20098,160,255,86,478,7,,,,,,,,,
538,Fumaria muralis,147.1,-35.2,156,315,27,580,11,,,,,,,,,
539,Euphorbia helioscopia,148.2,-35.2,148,310,13,833,11,,,,,,,,,
540,Festuca arundinacea,150.4,-35.2,153,252,51,1238,10.35999966,,,,,,,,,
541,Festuca arundinacea,138.75,-35.183333,142,263,52,795,7.639999866,,,,,,,,,
542,Fumaria muralis,139.11198,-35.17072,155,279,57,386,11.89999962,,,,,,,,,
543,Fumaria muralis,149.0667,-35.1667,129,283,-2,704,11,,,,,,,,,
544,Fumaria muralis,149.3833,-35.1667,119,266,-7,745,10.32966995,,,,,,,,,
545,Fumaria muralis,139.066667,-35.166667,156,277,59,398,11,,,,,,,,,
546,Fumaria muralis,138.5552,-35.15907,156,270,69,648,10.98999977,,,,,,,,,
547,Fumaria muralis,138.4667,-35.1333,162,272,74,533,11,,,,,,,,,
548,Fumaria muralis,138.7167,-35.1167,145,267,55,831,10,,,,,,,,,
549,Fumaria muralis,137.616667,-35.116667,162,266,80,424,23,,,,,,,,,
550,Fumaria muralis,117.916666,-35.116666,156,244,77,893,3,,,,,,,,,
551,Festuca arundinacea,138.583611,-35.110556,150,268,62,783,10.26000023,,,,,,,,,
552,Ficus carica,148.6694,-35.1008,130,287,-2,931,21.64999962,,,,,,,,,
553,Fallopia convolvulus,150.4,-35.1,147,251,42,1244,10.38000011,,,,,,,,,
554,Ficus carica,138.676111,-35.084444,145,267,55,831,10,,,,,,,,,
555,Festuca arundinacea,138.683333,-35.083333,141,267,50,951,10,,,,,,,,,
556,Lycium barbarum,138.866667,-35.066667,140,272,45,774,9.319999695,,,,,,,,,
557,Euphorbia helioscopia,137.32,-35.050278,160,264,79,457,7,,,,,,,,,
558,Ficus carica,138.6,-35.05,150,272,60,771,10.10999966,,,,,,,,,
559,Lycium barbarum,138.6,-35.05,150,272,60,771,10.10999966,,,,,,,,,
560,Festuca arundinacea,138.75,-35.05,143,271,49,837,10,,,,,,,,,
561,Fumaria muralis,138.75,-35.05,143,271,49,837,10,,,,,,,,,
562,Fumaria muralis,147.35,-35.05,157,317,27,561,20,,,,,,,,,
563,Ficus carica,138.60443,-35.04846,150,272,60,771,10.10999966,,,,,,,,,
564,Festuca arundinacea,117.591666,-35.048055,156,250,77,934,3,,,,,,,,,
565,Fumaria muralis,116.926388,-35.045,157,257,78,1128,3,,,,,,,,,
566,Festuca arundinacea,138.575,-35.039167,159,276,69,584,10.97894764,,,,,,,,,
567,Ficus carica,138.575,-35.039167,159,276,69,584,10.97894764,,,,,,,,,
568,Euphorbia helioscopia,137.183333,-35.033333,159,262,79,473,7,,,,,,,,,
569,Festuca arundinacea,149.75,-35.0333,126,266,3,730,11,,,,,,,,,
570,Fumaria muralis,117.879722,-35.031388,159,248,79,881,3,,,,,,,,,
571,Festuca arundinacea,149.75,-35.03,126,266,3,730,11,,,,,,,,,
572,Fumaria muralis,138.67,-35.0275,141,267,50,951,10,,,,,,,,,
573,Fumaria muralis,138.67133,-35.02615,141,267,50,951,10,,,,,,,,,
574,Fumaria muralis,138.593056,-35.023333,150,272,60,771,10.10999966,,,,,,,,,
575,Fumaria muralis,138.5175,-35.02,159,276,69,584,10.97894764,,,,,,,,,
576,Lycium barbarum,149.65,-35.01,122,265,-2,763,11,,,,,,,,,
577,Festuca arundinacea,139.350278,-35.008056,159,292,53,336,11,,,,,,,,,
578,Ficus carica,138.676944,-35.006111,141,267,50,951,10,,,,,,,,,
579,Festuca arundinacea,-60,-35,163,319,43,966,18.52000046,,,,,,,,,
580,Galium palustre,-58.5,-35,161,299,50,979,37,,,,,,,,,
581,Fumaria muralis,117,-35,158,257,78,1102,3,,,,,,,,,
582,Fumaria muralis,117.4,-35,158,255,78,1025,3,,,,,,,,,
583,Fumaria muralis,117.8,-35,157,248,78,888,3,,,,,,,,,
584,Ficus carica,148.7,-35,132,290,-1,887,11.75,,,,,,,,,
585,Fumaria muralis,148.83,-35,133,291,0,834,11,,,,,,,,,
586,Fumaria muralis,148.8333,-35,133,291,0,834,11,,,,,,,,,
587,Euphorbia helioscopia,150.5,-35,162,252,67,1277,11,,,,,,,,,
588,Fumaria muralis,150.5,-35,162,252,67,1277,11,,,,,,,,,
589,Euphorbia helioscopia,137.25,-34.996111,162,268,79,436,9.580645561,,,,,,,,,
590,Euphorbia helioscopia,137.25133,-34.99479,162,268,79,436,9.580645561,,,,,,,,,
591,Ficus carica,138.63,-34.9916,159,282,65,608,10.55000019,,,,,,,,,
592,Fumaria muralis,117.95,-34.983888,159,251,78,820,8.840000153,,,,,,,,,
593,Fumaria muralis,138.716667,-34.983333,139,268,46,968,10,,,,,,,,,
594,Fumaria muralis,138.69514,-34.97253,139,268,46,968,10,,,,,,,,,
595,Fumaria muralis,138.63,-34.97,159,282,65,608,10.55000019,,,,,,,,,
596,Festuca arundinacea,117.35,-34.9667,157,258,76,991,3,,,,,,,,,
597,Fallopia convolvulus,138.566667,-34.966667,165,284,71,487,10.95833302,,,,,,,,,
598,Festuca arundinacea,138.7,-34.966667,139,268,46,968,10,,,,,,,,,
599,Ficus carica,138.646389,-34.962222,159,282,65,608,10.55000019,,,,,,,,,
600,Fumaria muralis,138.646389,-34.962222,159,282,65,608,10.55000019,,,,,,,,,
601,Ficus carica,138.671389,-34.961944,139,268,46,968,10,,,,,,,,,
602,Festuca arundinacea,139.31387,-34.96033,160,293,54,311,43.75999832,,,,,,,,,
603,Festuca arundinacea,139.313889,-34.960278,160,293,54,311,43.75999832,,,,,,,,,
604,Festuca arundinacea,117.356666,-34.956388,157,258,76,991,3,,,,,,,,,
605,Fumaria muralis,117.356666,-34.956388,157,258,76,991,3,,,,,,,,,
606,Fumaria muralis,138.666667,-34.95,139,268,46,968,10,,,,,,,,,
607,Fumaria muralis,138.8,-34.95,138,270,43,940,10,,,,,,,,,
608,Festuca arundinacea,138.67186,-34.93059,139,268,46,968,10,,,,,,,,,
609,Lycium barbarum,138.512778,-34.928056,165,284,71,487,10.95833302,,,,,,,,,
610,Fumaria muralis,138.723889,-34.924167,139,268,46,968,10,,,,,,,,,
611,Euphorbia helioscopia,138.597222,-34.918333,159,282,65,608,10.55000019,,,,,,,,,
612,Fumaria muralis,138.497778,-34.916944,166,284,72,462,10,,,,,,,,,
613,Fumaria muralis,138.76224,-34.91227,141,274,45,833,10,,,,,,,,,
614,Euphorbia helioscopia,137.23007,-34.91158,164,270,81,423,7,,,,,,,,,
615,Fumaria muralis,138.529444,-34.906944,166,288,70,472,8.640000343,,,,,,,,,
616,Festuca arundinacea,138.710278,-34.906667,153,282,56,702,10.06000042,,,,,,,,,
617,Festuca arundinacea,149.8,-34.9,126,266,4,722,11,,,,,,,,,
618,Euphorbia helioscopia,150.65,-34.9,169,257,72,1263,11.93617058,,,,,,,,,
619,Euphorbia helioscopia,150.67,-34.9,170,254,76,1373,14.29268265,,,,,,,,,
620,Fumaria muralis,150.67,-34.9,170,254,76,1373,14.29268265,,,,,,,,,
621,Fumaria muralis,138.579722,-34.876111,166,288,70,472,8.640000343,,,,,,,,,
622,Festuca arundinacea,138.683333,-34.866667,153,282,56,702,10.06000042,,,,,,,,,
623,Fumaria muralis,138.733333,-34.866667,153,282,56,702,10.06000042,,,,,,,,,
624,Ficus carica,138.75,-34.866667,141,274,45,833,10,,,,,,,,,
625,Ficus carica,138.73901,-34.86426,153,282,56,702,10.06000042,,,,,,,,,
626,Festuca arundinacea,138.633,-34.85,164,289,66,545,10.96000004,,,,,,,,,
627,Fumaria muralis,138.833333,-34.85,141,274,45,833,10,,,,,,,,,
628,Fumaria muralis,148.91,-34.85,135,293,2,733,11,,,,,,,,,
629,Fumaria muralis,148.9167,-34.85,134,290,2,724,11,,,,,,,,,
630,Festuca arundinacea,138.84225,-34.83897,137,273,40,845,10,,,,,,,,,
631,Festuca arundinacea,138.75,-34.833333,143,278,45,752,10,,,,,,,,,
632,Fumaria muralis,139.36922,-34.81722,158,296,50,317,13.72999954,,,,,,,,,
633,Fumaria muralis,118.133611,-34.808888,153,253,69,671,11,,,,,,,,,
634,Lycium barbarum,147.03,-34.8,162,321,30,516,11,,,,,,,,,
635,Fallopia convolvulus,150.6,-34.8,159,253,58,1541,20.88999939,,,,,,,,,
636,Euphorbia helioscopia,150.7,-34.8,169,256,73,1459,21,,,,,,,,,
637,Fumaria muralis,150.7,-34.8,169,256,73,1459,21,,,,,,,,,
638,Fumaria muralis,138.98058,-34.77447,137,275,37,756,10,,,,,,,,,
639,Festuca arundinacea,149.72,-34.75,129,271,5,690,11,,,,,,,,,
640,Euphorbia helioscopia,135.866667,-34.733333,161,250,84,531,22.64864922,,,,,,,,,
641,Euphorbia helioscopia,146.79245,-34.733295,165,323,32,483,11,,,,,,,,,
642,Festuca arundinacea,149.97649,-34.72947,129,264,8,761,11,,,,,,,,,
643,Euphorbia helioscopia,135.754722,-34.728611,158,247,83,555,23,,,,,,,,,
644,Fumaria muralis,139.466667,-34.716667,159,299,48,309,11,,,,,,,,,
645,Fumaria muralis,149.73709,-34.707077,128,271,6,696,11,,,,,,,,,
646,Festuca arundinacea,149,-34.7,128,283,-1,750,11,,,,,,,,,
647,Fallopia convolvulus,150.7,-34.7,148,244,47,1875,21.21999931,,,,,,,,,
648,Fumaria muralis,135.511667,-34.696389,159,244,85,550,23,,,,,,,,,
649,Euphorbia helioscopia,138.81789,-34.6935,149,284,49,640,10.06000042,,,,,,,,,
